isbn,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language
0786903031,Realms of Magic,,"Brian Thomsen, John Robert King",Wizards of the Coast,1995,"An anthology of fantasy tales featuring the colorful inhabitants of the magical Forgotten Realms includes stories by R.A. Salvatore, Ed Greenwood, Elaine Cunningham, Jean Rabe, Jeff Grubb, and others",348,Fiction,en
0373484011,King of the Castle,,Heather Graham Pozzessere,Harlequin Books,1999-12,A widow confronts the man who knows the truth of her husband's death as well as her future.,260,Ireland,en
0275225208,Ty Cobb,,John Dennis McCallum,Henry Holt & Company,1975,"Cobb is pictured as an explosive personality, a shrewd realist, and a great base stealer in this account of his life and career",225,Baseball.,en
0761320938,Surprise!,,Charnan Simon,First Avenue Editions,1999,"When two brothers prepare a birthday surprise for their mother, her real surprise comes when she sees the mess they have made.",36,Juvenile Fiction,en
0312437285,Is that the Library Speaking?,,Ken Hornsby,St Martins Press,1979,"Ken Hornsby expected life as a librarian to be one of dignity and tranquil bibliophily, but a rampaging hamster, cranky patrons, and a recurring puddle in the children's department soon shatter those visions",172,Language Arts & Disciplines,en
0373835035,Take 5,,"Ginna Gray, Diana Palmer, Muriel Jensen",Harlequin Books,2002,"Diana Palmer, Rawhide and Lace-She left him vowing never to return. Her heart is finally mending...and now he wants her back.",0,,en
0515124346,Eternal Sea,,Alice Alfonsi,Berkley,1999,"The Middle English poem Pearl is an elegy on the death of a child, written to provide consolation for the loss of a loved one through instruction in Christian theology. The mourning father's faith in God has been shaken by his daughter's death. Having fainted away on his daughter's grave, he is transported in a dream vision to an earthy paradise where he sees his daughter across a stream, transfigured and clothed in garments set with pearls. She explains to him her exalted status as a bride of Christ and shows him a vision of the New Jerusalem. Ravished with his vision, he attempts to cross the stream to join his Pearl, only to be woken from his dream of paradise. This translation of the poem is accompanied by a preface on the translation, a reproduction of the poem in its original orthography, a transcription of the manuscript, a glossary, and instructions on how to read the manuscript hand.",354,Connecticut,en
1569317666,Zoids,Chaotic Century,Michiro Ueyama,Viz Media,2002,"Van and Raven face off in a final showdown over the fate of the rare ZOID Wendeen, and then Van joins forces with Zeke, Fiona, Moonbay, and Irvine on a journey to the capital city of the Republic.",84,Comics & Graphic Novels,en
1586608592,The Unfolding,God's Amazing Grace Unfolds in Story,"Jim Kraus, Terri Kraus",Barbour Publishing,2003,"Annie Hamilton doesn't expect her life to change dramatically when she opens her modest home to a rootless and pregnant neighbor. But when the young woman abandons her newborn son, Annie summons her courage and decides to raise the baby as her own. All is well--until the day the birth mother returns to claim her child. Distraught, Annie searches for answers--and finds them in the most unlikely places. Can this path of darkness be the way that God unfolds His plan for her? This deeply moving story will open readers' eyes to the power of redeeming love--and the power of faith.",308,Fiction,en
0451146018,The Empty Hours,,Ed McBain,Berkley,1982-10-05,"Here are three chillers from the files of the 87th Precinct--by the author of the New York Times bestseller Kiss. This trilogy of murder includes The Empty Hours, J, and Storm.",260,87th Precinct (Imaginary place),en
0399136002,It Began in Vauxhall Gardens,,Jean Plaidy,Putnam Publishing Group,1991-10-01,"A fictional account of one of the most celebrated scandals in England's history retraces the fortunes of beautiful, capricious Melisande, the child of an aristocrat and a seamstress, whose affairs became infamous",318,Fiction,en
0060193336,Free Fall,,Kyle Mills,Harper,2000-04-26,"From the #1 New York Times bestselling author of Vince Flynn's Mitch Rapp Series It's bold. It's dangerous. It's the kind of maverick operation that has made Mark Beamon both the FBI's best agent and its least-likely-to-succeed screw-up. A top-secret FBI file -- buried in an anonymous government warehouse since J. Edgar Hoover's death -- is missing. The unlucky grad student who uncovered it is dead, and now his ex-girlfriend is on the run, accused of the murder. The only man everyone agrees can find the young woman and turn up the explosive document is ""off-duty,"" suspended and under the threat of prosecution by the bureau itself. Beamon knows better than anyone that this is his last shot to save his career -- and his country. Tracking the young woman down, though, will be the hardest assignment he's ever tackled, for she's a gutsy world-class rock-climber who can drop out of sight anywhere in the world. And even if he finds her and the file, who can he trust when the FBI itself is under suspicion? Beamon has no room for wrong guesses -- or moves. If he blows this one, he'll free fall straight out of the bureau -- and straight into prison....",424,Fiction,en
0515134139,Target Lock,,James H. Cobb,Berkley,2002-11-26,When an industrial research satellite falls into the Indonesian Sea and disappears--along with its recovery team and ship--NATO and U.S. military officials believe the satellite has been stolen. Commander Amanda Lee Garrett and her Navy task force are called in for the hunt. Their suspect is a high-tech pirate--a criminal genius whose own sea force turns the mission into an international crisis.,0,"Garrett, Amanda Lee (Fictitious character)",en
0451193008,Shroud for the Archbishop,,Peter Tremayne,Signet Book,1998,Sister Fidelma travels to Rome and while there she is asked to investigate the death of a bishop.,0,Fiction,en
0517701014,The Tetherballs of Bougainville,A Novel,Mark Leyner,Harmony,1997,"From his cult classic, I Smell Esther Williams, to his wildly popular and insightful column ""Wild Kingdom"" appearing in Esquire magazine every month, Mark Leyner has been giving us up close and personal encounters of the most hilarious kind for over a decade. Now, in his new novel The Tetherballs of Bougainville, Leyner shares with us, long last, the quintessential coming of age story that every writer, at some point, is compelled to tell. In the novel we meet young Mark Leyner, 13-years-old to be exact, as he waits in a New Jersey prison to witness his father's execution. Adolescence is never easy, and it just so happens that this junior high schooler is on deadline to turn in a screenplay for which he has already been awarded the Vincent and Lenore DiGiacomo/Oshimitsu Polymers America Award. And, as it was for all of us during out teenage years, nothing seems to go as planned. Written as autobiography, screenplay and movie review, The Tetherballs of Bougainville twists three familiar narrative forms into an outlandishly compelling story. Leyner's use of the media-driven formats brilliantly reflects our secret, shameful and hilarious desire to experience our private lives as mass entertainment. The Tetherballs of Bougainville skewers and celebrates American pop culture in the late twentieth century. Leyner's version of our lives is so deeply funny because it is so painfully true.",248,Capital punishment,en
1556112173,A Journey of Faith,,"Elie Wiesel, John Joseph O'Connor",Dutton Adult,1990,"Moderated by Gabe Pressman, Wiesel and Cardinal O'Connor discuss several issues, including the religious meaning of the Holocaust; the Vatican's position during the Holocaust; the moral aspect of the phenomenon of Holocaust denial; antisemitism and Jewish-Catholic relations; anti-Zionism; Arab-Israeli relations; and whether it was proper for the Pope to meet with Arafat and Waldheim.",112,Christianity and other religions,en
1853262544,Much Ado about Nothing,,William Shakespeare,Wordsworth Editions,1995,"This book has long been celebrated as one of Shakespeare's popular comedies. It describes the central relationship, between Benedick and Beatrice, which is combative until love prevails.",148,Drama,en
0425170268,Miss Seeton's Finest Hour,,Hamilton Crane,Berkley,1998-12-31,"When art teacher Miss Seeton answers her country's call to duty during World War II, her life changes dramatically. Armed with a sketch pad, she becomes the most unlikely master of detection in this, her first mystery -- and finest hour.",0,Detective and mystery stories,en
0440411254,The Castle of Llyr,,Lloyd Alexander,Yearling,1966,Taran and his friends set out to rescue Princess Eilonwy from the Isle of Mona.,210,Braille books,en
0195147103,Voodoo Science,The Road from Foolishness to Fraud,Robert L. Park,Oxford University Press,2000,"The author, a noted physicist, takes a wide swipe at fraudulent claims and fringe science, taking on Deepak Chopra, the international space station, and other icons of ""voodoo science."" Reprint.",241,Science,en
0609601067,Mendel's Dwarf,,Simon Mawer,Harmony,1998,"Dr. Benedict Lambert is an acclaimed British geneticist. His great-great-great uncle was Gregor Mendel, the reclusive Austrian monk who pioneered modern genetics. Ironically, Ben is the victim of one of nature's crueler jokes, a genetic mutation called achondroplasia. In other words, he is a dwarf. It has been his life's work to decode the gene that has made him how he is. Clever, sardonic, and vulnerable, he has another Jean in his life, Miss Jean Piercey, the woman with whom he hopes to find normal, reciprocated human love. But when rejection looms, Ben has to confront the ultimate temptation. Will he use science to seek revenge--and play God? ""From the Trade Paperback edition.",312,Dwarfism,en
0805055347,Kalimantaan,A Novel,C. S. Godshalk,Macmillan,1999-04-15,"One hundred and sixty years ago a young Englishman founded a private raj on the coast of Borneo. The world he created eventually took in a territory the size of England, its expansion campaigns paid for in human heads. Here, polite Victorian conventions coexisted tenuously with one of the most violent cultures on earth, often with startling results: pockets of tenderness and extreme brutality appearing where least expected. Into this world flowed a small tribe of adventurers, fugitives, criminals, and saints-- the madly talented and simply mad. And the women followed: wives and would-be wives, spinster nursemaids and heartless schemers, the rigidly virtuous and the virtually desperate. And always, the children, innocents too often the victims of an elemental nature both lush and deadly. Kalimantaan is the story of this world, these people. But the deeper story resides in the realm of the heart. It is about love in absurd conditions, the tenacity of it as well as our ability to miss it repeatedly and with perverse genius.",484,Fiction,en
1565920317,!%@:: a Directory of Electronic Mail Addressing and Networks,,"Donnalyn Frey, Richard L. Adams",O'Reilly Media,1993,"This is the only up-to-date directory that charts the networks that make up the Internet, provides contact names and addresses, and describes the services each network provides. Includes all of the major Internet-based networks, as well as various commercial networks such as Compuserve, Delphi, and America Online that are ""gatewayed"" to the Internet for transfer of e-mail and other services.",443,Computers,en
0312034202,The Ripper's Apprentice,,Donald Serrell Thomas,St Martins Press,1986,"A sadistic murderer known only as ""Fred,"" who specializes in poisoning prostitutes, offers to unravel his latest crime for a large sum of money, a crime that threatens the reputation of one of Victorian England's finest",245,Fiction,en
0345360362,Highland Laddie Gone,,Sharyn McCrumb,"Random House Digital, Inc.",1991,"""Sharyn McCrumb transforms mystery into astonishing literature.""--The Cleveland Plain Dealer Forensic anthropologist Elizabeth MacPherson gets a chance to revel in the rites of the old country at the annual Glencoe Mountain Games, the Scottish festival where several hundred like-minded Americans celebrate their ancestors' folkways. But the innocent ethnic fair is cursed when the loathed Colin Campbell is found murdered. Then a second murder silences everyone's bagpipes for good. Enter Elizabeth, who make short work of her search for motive and murderer. ""I had a great time at Sharyn McCrumb's inimitable version of the Highland games.""--Charlotte MacLeod",228,Detective and mystery stories,en
0590456539,Karen's Tuba,,Ann M. Martin,Little Apple,1993,"When everyone in her class is given musical instruments, Karen is dismayed to find she must play a big, old tuba instead of the elegant flute she wanted.",102,Bands (Music),en
0486290220,Ready-to-Use Bird Illustrations,98 Different Copyright-Free Designs Printed One Side,Bob Giuliani,Dover Publications,1996-03-13,"Nearly 100 detailed, accurate images (each in 3 sizes) of songbirds, birds of prey, exotic species, more. Enhance newsletters, ads, brochures, etc. 294 black-and-white illus.",0,Birds,en
1575252929,Scenes I've Seen...,A Casting Director's Original Scenes and Interpretive Notes,Dorian Dunas,Smith & Kraus,2001,"""It was a wonderful scene -- it holds great truth and depth."" -- Joe Allen Price Scenes I've Seen is a casting director's book of original dramatic and comedic scenes for actors and actresses ranging in age from 20 to 65. What makes the book unique is that it offers both wonderful, contemporary scenes, as well as in-depth comments from the author, providing insight to the characters and advice from a professional casting director on performing the scenes. The additional information that accompanies each scene offers actors a better understanding of the role, thereby enhancing the choices they use in their performance. Dorian Dunas attended USC film school and started in the film business reading scripts for two years for director Richard Donner. She got into development and worked for actor Peter Strauss' film company, Beowolf, for a year, then moved into casting. Her first job as a casting assistant was Pretty in Pink. In casting, Ms. Dunas has worked on eleven features, five television series, six pilots, and two plays. Several years ago, she worked with a partner writing scripts, and their first comedy script was optioned by Paramount Pictures.",118,Acting,en
081673416X,Karen's Perfect Match,,Janet Quin-Harkin,Troll Communications Llc,1994,Karen tries to cope with the expectations of her Vietnamese parents as she and her friends at Phoenix's Alta Mesa High School deal with problems caused when the Nerds create a computer program to find perfect dates for the girls.,180,Friendship,en
0840715420,Serenity®,A Companion for Twelve Step Recovery,"Robert Hemfelt, Richard Fowler",Nelson Bibles,1990-09-25,A guide to aid the user through a twelve step program to end compulsive and addictive behavior and find serenity through the word of God.,0,Addiction,en
0060520515,The Other Side of the Story,A Novel,Marian Keyes,Harper Collins,2004-04-27,"A novel that takes place in the world of publishing considers the joys and vagaries of career, karma, and love.",534,Fiction,en
0738203491,The Pleasure Of Finding Things Out,The Best Short Works Of Richard P. Feynman,Richard P. Feynman,Basic Books,2000-08-10,"The Pleasure of Finding Things Out is a magnificent treasury of the best short works of Richard Feynman—from interviews and speeches to lectures and printed articles. A sweeping, wide-ranging collection, it presents an intimate and fascinating view of a life in science-a life like no other. From his ruminations on science in our culture to his Nobel Prize acceptance speech, this book will fascinate anyone interested in the world of ideas.",0,Science,en
0806902914,Glorious Cross Stitch,,Chris Rankin,Sterling Publishing (NY),1993,More than 50 stunning projects for every room in your home. --cover.,122,Cross-stitch,en
0312990863,The Palm Beach Murder,,Marion Collins,Macmillan,2004-07-11,"Describes the case of millionaire James Sullivan, the murder of his estranged wife, Georgia debutante Lita McClinton, his escape from justice from nearly fifteen years, and his eventual arrest in Thailand after years on the run. Original.",289,True Crime,en
0307987965,The Wonder of Easter,,Matt Mitter,Golden Books,2000,Precious Moments boys and girls recount the special things that happen at Easter.,28,Easter stories,en
0805052534,If Aristotle Ran General Motors,The New Soul of Business,Tom Morris,Macmillan,1998-11-15,Presents strategies for reinvigorating the corporate spirit by way of the teachings of ancient philosophers. -- Back cover.,248,Business & Economics,en
1577490886,Daily Comforts for Caregivers,,Pat Samples,,1999,"Caregivers have one of the hardest jobs in the world. Beyond all their usual personal and family demands, they must take on the special responsibility of caring for family memers or others with long-term health problems. All the stresses that come with the territory can be overwhelming and make a caregiver feel hopeless at times. With 366 days' worth of wisdom and affirmations, Daily Comforts addresses one caregiving issue per day. An index of topics allows caregivers to find the readings most pertinent to their immediate concerns. Written in the first person, each page of Daily Comforts acts as a caregiver's monologue--as if what is on the page is coming directly from his or her mind. Few meditation books offer this approach. The idea is for the reader to transition from ""venting"" to thinking about the issue from a different perspective, to finding a solution. Daily Comforts works like a support system in a pocket by helping both family and professional caregivers cope with isolation, guilt, exhaustion, and frustration. Each reading concludes with an inspiring, practical affirmation designed to help caregivers better care for themselves.",385,Family & Relationships,en
0736913238,Who Brings Forth the Wind,,Lori Wick,Harvest House Pub,2003-12-16,"Leaving the English countryside to spend the summer in London with her aunt, Stacy Daniels finds herself caught up in a new world of balls and teas and captures the attention of the handsome Duke of Cambridge, who is battling his tormented past.",396,Fiction,en
0553264966,The Scribner-Bantam English Dictionary,,Edwin B. Williams,Bantam,1984-09,Standard dictionary suitable for high school use.,0,Reference,en
0451523822,Fathers and Sons,,Ivan Sergeevich Turgenev,Signet Classics,1961,Depicts generational conflict in a portrayal of a young man's attempts to convert his father to his own radical political ideas.,208,Fathers and sons,en
0892818670,The Pagan Book of Days,"A Guide to the Festivals, Traditions, and Sacred Days of the Year",Nigel Pennick,Destiny Books,2001-04-01,"• A daybook containing information about rituals and celebrations that have for centuries been associated with the changing seasons of the year. • Includes charts of equinoxes and solstices, movable holy days, and monthly lunar phases through 2033 • First edition sold more than 30,000 copies Pagan rites and festivals are at the root of many traditional holidays in the Western world. Embracing a sensitivity we have lost, the Pagan traditions emphasize mystical spirituality, reverence for the feminine principle, and the links between people and the earth. This unique daybook contains a treasury of information about rituals and celebrations that have for centuries been associated with the changing seasons of the year. Included are the observances of the ancient Greek, Roman, Celtic, Anglo-Saxon, and Norse traditions, as well as Wiccan traditions and the worship of the Goddess. In The Pagan Book of Days the author provides details on auspicious and inauspicious days, holy days of ancient gods and goddesses, and the eight stations of the year (the solstices, equinoxes, and cross-quarter days). He also includes lunar and solar charts indicating dates of major Pagan celebrations from the year 2011 through 2033. Illustrations throughout depict images from the classical and northern European traditions. The Pagan Book of Days is an enlightening way to incorporate these ancient cultural and spiritual practices and awarenesses into your daily life.",160,Religion,en
0671430254,Hooray for Yiddish!,A Book about English,Leo Rosten,Simon & Schuster,1982,"A cheerful lexicon of Yiddish words which have become part of the English language, plus English words and phrases which have been trasformed into Yinglish; the whole garnished with stories, jokes, parables, reverent quotations from the Talmud and a glittering gallery of writers, rabbis, sages wits, with impulsive side trips into faith, folklore, genious and history of the Jews-- from their servitude in Babylon to their magnitude in Beverly Hills.",372,English language,en
1590580664,Death of an Effendi,,Michael Pearce,,2004-05,"Cairo, 1909.The murder capital of the world, where deaths are two a piastre. But the death of an effendi? That is something different. Because effendis - the Egyptian elite - are important. Especially if - in a country ruled by foreigners - they happen to be foreign. When Tvardovsky, an effendi and a foreigner, is shot at a gathering of financiers, Gareth Owen - the Mamur Zapt, Chief of Cairo's Secret Police - is called in to investigate.",0,Cairo (Egypt),en
0425189899,Mortality,,Steven Ford,Berkley,2003,"While working at the De Leon Life Extension Center, plastic surgeon and recovering alcoholic Paul Tobins discovers that essential procedures and protocols are not being followed, resulting in the deaths of several patients.",452,Horror fiction,en
0786251689,Breach of Trust,,Melinda Rucker Haynes,Five Star (ME),2003,"The Sword Returns! The riveting sequel to the critically acclaimed novel The Eternal Trust.Jonathan Spencer has no memory of being a psychic spy until past life hypnotherapist Rian Farsante helps him remember too much. But Rian knows the one thing Spence doesn't -- his past. She's been hired to bring him back into the fold of psychic spies and assassins, and must accomplish her mission -- even if it breaks her heart.",292,Time travel,en
0435905252,Things Fall Apart,,Chinua Achebe,Heinemann,1996,"Set in an Ibo village in Nigeria, the novel recreates pre-Christian tribal life and shows how the coming the white man led to the breaking up of the old ways.",212,Africa,en
0486212386,Learn Magic,,Henry Hay,Courier Corporation,1975-01-01,"Written for the amateur magician, ""Learn Magic"" enables readers to learn and start performing 65 well-known tricks that professionals use, offering a well-rounded repertoire on which beginners can draw.",324,Games & Activities,en
0696217120,Trading Spaces Behind the Scenes,,,Meredith Corporation,2003,"Presents a behind-the-scenes look at the popular decorating program, providing profiles of the cast, decorating tips, and an episode guide.",180,Decorating tips,en
0425175421,Harper's Moon,,Suzanne Judson,Berkley,2000,A troubled quiltmaker takes refuge in a small town in North Carolina and meets up with a travel writer who is locked in a struggle with his own demons. Jed and Annie share an overwhelming desire to conquer their fears and let go of the past. But first they must confront the desire consuming their hearts.,340,Man-woman relationships,en
0373201427,A Family Christmas,Christmas Stranger; Jake's Christmas; Room at the Inn,"Harlequin Books, Elizabeth Bevarly, Joan Hohl, Marilyn Pappano",Harlequin Books,1997-10-24,A collection of three Christmas love stories which give an insight into the true meaning of Christmas.,596,Christmas stories,en
0865474982,Mothers,Twenty Stories of Contemporary Motherhood,Katrina Kenison,,1996,"Stories addressing the challenges and joys of motherhood cover a range of maternal experiences, from pregnancy and birth to adolescence and adulthood",343,Fiction,en
0812065913,Cats,,Sarah Allen,Barrons Juveniles,1996,"Full-color illustrations on every page are accompanied by short, easy-to-read factual descriptions. These handsome little books introduce beginning readers to a wide variety of interesting subjects, while also making perfect collectibles. This fascinating little book shows 25 different kinds of cat, lists the country of origin of each, and describes unusual features. Here are the Siamese, the Angora, the Manx, as well as longhairs, shorthairs, and many other varieties.",60,Juvenile Nonfiction,en
0380810301,A Time Apart,,Diane Stanley,HarperCollins,2001-07-01,"While her mother undergoes treatment for cancer, thirteen-year-old Ginny is sent to live with her father in England, where she becomes part of an archeological experiment to investigate life during the Iron Age.",0,Juvenile Fiction,en
0809073838,No Constitutional Right to be Ladies,Women and the Obligations of Citizenship,Linda K. Kerber,Macmillan,1998,"A groundbreaking examination of the history of American women offers unique perspectives on the differences between the rights and obligations of citizens, arguing that women's obligations have not kept pace with their rights. 10,000 first printing. Tour.",436,History,en
0375759972,Halide's Gift,A Novel,Frances Kazan,Random House Trade Paperbacks,2002,"Set in magical, mystical Constantinople in the late 19th century, this is the story of a family with a secret, and a society in turbulent transition. At the heart of this beguiling novel are two sisters bound by a friendship that will be torn apart by their love of radically different men.",380,Istanbul (Turkey),en
044022165x,The Rainmaker,,John Grisham,Dell,1996,"Abandoning his aspirations about living the good life, Memphis attorney Rudy Baylor fears he will lose everything in the face of a pivotal case that could cost him his life or turn him into the biggest rainmaker in the land. Reprint.",611,Fiction,en
0877208166,The Adventures of Huckleberry Finn with Reader's Guide,,"Mark Twain, Robert J. Lowenherz",,1972,Recounts the adventures of a young boy and an escaped slave as they travel down the Mississippi River on a raft.,332,American literature,en
0812815092,The Truth about Unicorns,,Bonnie Jones Reynolds,,1972,"""For this small farming community in upstate New York in the 1920s, the Jazz Age might as well be playing out on the moon. Around here, folks' concerns pretty much stay the same as one decade slides into another. Nothing important really changes. The cows still need milking. The Parmelee family curse has been in place for ages. Carrie's been evil from the cradle. Red-haired women have never brought anything but trouble to this town. And there sure ain't nothing new about what teenagers are getting up to in the woods""--Product description.",380,"Fantasy fiction, American",en
1931010072,Sofia's Saints,,Diana López,Bilingual Review Press (AZ),2002,"Forced to confront both her painful past and the seemingly inevitable loss of her old home, Sofia realizes that she must reevaluate everything she thought she knew about art, love, men, miracles, and money.""--BOOK JACKET.",166,Christian saints in art,en
0913504718,Eye of the Eagle,The Outdoor Photography of Don Wooldridge,Bill Nunn,Lowell Press,1981,A tribute pictorial of Don Wooldridge's outdoor photography of Missouri. Don Wooldridge spent twenty-eight years as a photographer for the Missouri Department of Conservation.,113,Photography,en
1575661896,Dying to Sing,,Margaret Chittenden,,1997-06-19,"Charlie Plato, owner of California's hottest country western bar, has a dead serious problem when an earthquake shakes loose a skeleton in her backyard.",308,California,en
031208479X,With Good Reason,An Introduction to Informal Fallacies,S. Morris Engel,New York : St. Martin's Press,1994-01-01,"A concise, easy-to-read introduction to informal logic, ""With Good Reason"" offers both comprehensive coverage of informal fallacies and an abundance of engaging examples of both well-conceived and faulty arguments. A long-time favorite of both students and instructors, the text continues in its sixth edition to provide an abundance of exercises that help students identify, correct, and avoid common errors in argumentation.",276,Philosophy,en
1840222085,Battle of Britain,,"Len Deighton, Max Hastings",Wordsworth Military Library,1999,"In this text, Deighton and Hastings look at how the few defended Britain in the Battle of Britain. They depict the reality of the battle and how it was enacted by those who took part, whether in the air, on the ground, in the planning rooms or at home in towns and villages.",223,"Britain, Battle of, Great Britain, 1940",en
0911104801,Steven Caney's Kids' America,,Steven Caney,Workman Publishing,1978,"Introduces life in early American settlements by means of suggested projects including churning butter, making rope, and tracing a family tree.",0,Amusements,en
0670397024,In the Spirit of Crazy Horse,,Peter Matthiessen,Viking Adult,1983,"""A giant of a book. Indescribably touching, extraordinarily intelligent.""-The Los Angeles Times Book Review. Matthiessen's chronicle of a fatal gun-battle between FBI agents and American Indian Movement activists in 1975.",676,American Indian Movement,en
0671442139,Confessions of a Crap Artist,,Philip K. Dick,,1982,"Jack Isidore, a young man living with his sister and her family in California joins a UFO group that believes the world will end on April 23, 1959",207,Fiction,en
0764550039,Chess For Dummies,,James Eade,For Dummies,1996-10-24,"Many consider chess to be the best game ever invented. Chess imposes a set of rules and has finite limits, but just as you start to think you’re finally solving its mysteries, chess thwarts you. Sometimes, therefore, the game is frustrating, but far more often, chess proves both surprising and delightful. The deeper you get into chess, the more of its secrets you unearth — but the game has never been tapped out. Even today’s monster computers are far from playing the theorized “perfect” chess game. Chess For Dummies is for anyone who wants to become a better chess player. Whether you’ve been playing chess for years or never played at all, this clearly written and easy-to-understand guide will help you to Apply the rules of chess to maximize winning Understand the lingo involved in the game Find other players who are just about at your own level Teach others how to play the game Explore move-by-move what it takes for you to be the one proudly saying, “Checkmate” at the end of your chess game. Chess For Dummies also covers the following topics and more: Setting up the board The pieces and their powers Pattern recognition What to do throughout the game, from start to end Whom to play, when, where, and how Online and computer chess Chess notation Ever since chess originated in the 17th century in ancient India, it has grown to become recognized as the most ancient, intellectual, and cultural game of its time. Its combination of sport, scientific thinking, and the elements of art make it one of the most played games in the world. This book shows you everything you need to know in order to unearth the secrets and philosophies of chess.",390,Games & Activities,en
0312930283,The Kinsman Saga,,Ben Bova,Tor Books,1987,"Hero or Killer? In a startling future that's coming closer every year, Chet Kinsman is an astronaut ace who has done everything in space--including committying the first murder. It's a secret he can never escape, not even on the Moon, where he's head of the first U.S. lunar colony. But suddenly, a series of shocking yet strangely inevitable circumstances forces Kinsman to confront his hidden past and decide Earth's destiny. In a desperate countdown to nuclear annihilation, Kinsman struggles against a deadly paradox: if he rescues the world, he may end up destroying himself. Hero or Killer? In a startling future that's coming closer every year, Chet Kinsman is an astronaut ace who has done everything in space---including committing the first murder. It's a secret he can never escape, not even on the Moon, where he's head of the first U.S. lunar colony. But suddenly, a series of shocking yet strangely inevitable circumstances forces Kinsman to confront his hidden past and decide Earth's destiny. In a desperate countdown to nuclear annihilation, Kinsman struggles against a deadly paradox: if he rescues the world, he may end up destroying himself.",566,Fiction,en
0060904879,Divine Milieu,,Pierre Teilhard de Chardin,Harper Perennial,1960,"Describes the evolutionary process mainly from a material point of view, though the point is made that, with the emergence and development of man, the individual could use his free will to cooperate with God and go beyond what seems a purely material process. Explains how this cooperation takes place and shows that man's spiritual life can become a participant in the destiny of the universe.",152,Religion,en
184195280X,The Cutting Room,,Louise Welsh,Canongate Books,2002,"Rilke, an auctioneer, comes upon a hidden collection of violent erotic photographs. He feels compelled to unearth more about the deceased owner who coveted them. What follows is a journey of discovery, decadence and deviousness.",294,Auctioneers,en
0747546053,The Best Friends' Guide to Toddlers,"A Survival Manual to the 'terrible Twos' (and Ones and Threes) from the First Step, the First Potty and the First Word ('no') to the Last Blanket",Vicki Iovine,Bloomsbury Publishing,1999,This advice on how to deal with toddlers discusses things such as: when to say no and act like you mean it; when to move your little tyke out of the cot and into a bed; which vegetables your toddler will eat and how to disguise the others; and who decides when it is time to potty train.,256,Child rearing,en
0006928145,The Strange Message in the Parchment,,Carolyn Keene,,1979,Nancy meets a masked figure who tries to steal a parchment which contains a hidden message.,154,Children's literature,en
0425187330,A Crossworder's Holiday,,Nero Blanc,Berkley Hardcover,2002,Detective story including crosswork puzzles.,216,Crossword puzzle makers,en
0895867230,Microwave Cookbook,The Complete Guide,Pat Jester,HP Trade,1988,Loose-leaf pages in 3 ring binder. Lavishly illustrated text explains now to prepare over 750 recipes from appetizers to dessert.,542,Microwave cooking,en
0345452585,The Conspiracy Club,,Jonathan Kellerman,"Random House Digital, Inc.",2004,"Devastated and suspected by the police after the brutal murder of his girlfriend, hospital psychologist Jeremy Carrier finds himself unwittingly engaged in a game of cat and mouse when additional murders take place and clues begin appearing in his mail. Reprint.",417,Fiction,en
0395202841,Sanditon,,"Jane Austen, Another lady, Anne Telscombe",,1975,"Charlotte Heywood suddenly finds herself in a world of elegance, snobbery, romance and intrigue. How can she escape Sir Edward, out-smart her charming competitors and convince Sidney Parker to marry her?",348,England,en
0671684337,Winter Scream,,"Chris Curry, Lisa Dean",,1991-01-01,"A tale of evil, madness, and terror draws readers to a small town nestled in the mountains of southern California. When greed forces open a well, the opening exposes half-human horrors that seek human blood--and an unholy, irresistible power that is gathering beneath the earth. ""I kept the lights on the night I finished it"".--Douglas Clegg, author of Breeder and Goat Dance.",403,Fiction,en
0671443666,The Best of Dear Abby,,Abigail Van Buren,"New York : Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks",1982,Letters from her daily column provide insight into the author's wit and wisdom in offering advice to the lovelorn and troubled,252,Conduct of life.,en
189097000X,A Chilling Tale of Shave Ice,Mrs. Sugihara Haunts a Village,"Glen Grant, James Grant Benton, Arnold Hiura",,1997-01-01,The supernatural lore of Hawaii.,208,Fiction,en
185967898X,Colour Healing,A Complete Guide to Restoring Balance and Health,Lilian Verner Bonds,,1999,"Colour Healing is a guide to colour theray and how it can be used to great advantage in healing our physical, emotional or mental turmoil. The book explains the history of colour therapy, and describes 13 key colours and their properties.'",0,Alternative medicine,en
030780125X,A Stable in Bethlehem,A Christmas Counting Story,Joy N. Hulme,Golden Books,1989,A counting book showing the animals and people in the stable at Bethlehem for the birth of Jesus Christ.,28,Christmas stories,en
0553240013,Dear Sister,,"Kate William, Francine Pascal",,1984,"Elizabeth lies in a coma, on the brink of death, and Jessica's emotions are shattered.",164,Children's stories,en
081182621X,Love and Desire,Photoworks,William A. Ewing,Chronicle Books (CA),1999,"The long-awaited sequel to Ewing's influential and highly successful ""The Body"" brings together over 300 color and duotone images that explore human intimacy in all its forms.",404,Desire in art,en
0393318133,Go Gator and Muddy the Water,Writings,Zora Neale Hurston,W W Norton & Company Incorporated,1999,"Gathers local folklore, folk songs, childrens games, and essays on race, the Black church, and Black artists",199,Fiction,en
